Target,MAJORAXIS,MINORAXIS
0,107,47
0,114,43
0,100,42
0,100,40
0,101,37
0,102,41
0,108,44
0,96,40
0,89,43
0,97,33
0,103,46
0,112,53
0,98,48
0,98,40
0,108,55
0,100,36
0,105,44
0,107,46
0,109,40
0,106,45
0,100,38
0,104,50
0,89,31
0,105,42
0,102,48
0,108,51
0,112,44
0,107,45
0,96,39
0,110,45
0,98,44
0,116,44
0,107,44
0,100,44
0,92,40
0,100,39
0,98,40
0,107,44
0,99,44
0,101,38
0,106,40
0,110,51
0,110,46
0,104,48
0,104,47
0,93,39
0,111,48
0,101,44
0,108,47
0,114,43
0,100,43
0,100,40
0,21,19
0,100,38
0,101,41
0,105,35
0,108,44
0,90,43
0,96,40
0,98,33
0,104,46
0,111,53
0,98,48
0,99,41
0,108,55
0,99,37
0,105,44
0,107,47
0,109,40
0,105,45
0,102,38
0,103,50
0,90,33
0,105,42
0,102,48
0,89,43
0,109,51
0,112,44
0,108,45
0,96,39
0,110,45
0,98,44
0,116,44
0,100,45
0,107,44
0,102,44
0,93,39
0,100,39
0,97,40
0,106,44
0,98,44
0,106,40
0,110,50
0,110,45
0,103,48
0,105,47
0,93,39
0,111,48
0,107,47
0,114,43
0,100,43
0,100,41
0,24,21
0,99,38
0,100,42
0,108,38
0,109,44
0,90,43
0,96,40
0,97,33
0,105,46
0,112,53
0,98,48
0,99,42
0,108,55
0,102,37
0,105,44
0,107,47
0,110,40
0,94,40
0,106,45
0,102,38
0,104,50
0,88,31
0,106,42
0,102,48
0,90,46
0,109,52
0,112,44
0,107,45
0,96,39
0,110,45
0,99,44
0,116,44
0,101,46
0,108,44
0,100,44
0,93,39
0,100,39
0,98,40
0,111,44
0,107,44
0,98,44
0,106,40
0,109,51
0,110,45
0,104,48
0,105,47
0,93,39
0,111,49
0,107,47
0,114,44
0,99,43
0,97,46
0,99,41
0,101,39
0,101,41
0,108,39
0,108,45
0,90,42
0,96,40
0,98,34
0,105,46
0,111,53
0,98,48
0,99,43
0,108,55
0,101,38
0,104,44
0,107,47
0,109,41
0,97,41
0,107,45
0,101,38
0,104,50
0,87,30
0,105,43
0,102,48
0,91,46
0,109,51
0,112,44
0,106,45
0,95,39
0,109,45
0,98,44
0,116,44
0,102,46
0,107,44
0,101,44
0,93,40
0,101,39
0,97,40
0,112,46
0,107,44
0,98,44
0,106,41
0,109,51
0,110,46
0,105,47
0,105,47
0,92,39
0,111,49
0,107,47
0,114,44
0,100,43
0,102,48
0,100,41
0,101,39
0,100,42
0,109,40
0,108,44
0,90,42
0,97,40
0,96,35
0,98,34
0,103,46
0,112,53
0,98,48
0,100,44
0,108,55
0,101,38
0,104,44
0,106,47
0,109,41
0,98,42
0,105,45
0,103,38
0,104,50
0,88,31
0,105,43
0,102,48
0,92,46
0,109,52
0,111,44
0,107,45
0,95,39
0,109,45
0,99,44
0,116,44
0,101,46
0,108,44
0,101,44
0,94,40
0,99,39
0,98,40
0,112,47
0,107,44
0,98,43
0,106,40
0,110,50
0,110,46
0,104,47
0,105,47
0,92,38
0,111,49
0,22,20
0,106,47
0,114,44
0,101,43
0,104,49
0,101,41
0,101,39
0,100,41
0,108,41
0,108,44
0,96,40
0,103,38
0,98,34
0,104,46
0,112,53
0,98,48
0,100,44
0,108,56
0,101,38
0,104,44
0,106,46
0,109,41
0,98,42
0,106,45
0,102,38
0,104,50
0,88,31
0,105,43
0,102,48
0,91,46
0,108,52
0,111,45
0,107,45
0,97,39
0,110,45
0,99,44
0,116,44
0,102,46
0,108,44
0,101,44
0,94,40
0,100,39
0,97,40
0,113,48
0,107,45
0,98,43
0,107,40
0,109,51
0,111,46
0,104,48
0,106,47
0,111,49
0,106,47
0,114,44
0,100,43
0,104,49
0,100,41
0,101,39
0,101,41
0,109,41
0,108,45
0,96,40
0,105,39
0,98,34
0,104,46
0,113,53
0,97,48
0,100,44
0,108,56
0,101,39
0,106,44
0,107,41
0,98,42
0,105,45
0,102,38
0,104,50
0,90,33
0,104,43
0,101,48
0,91,47
0,98,37
0,109,51
0,112,44
0,95,39
0,109,45
0,99,44
0,115,44
0,102,46
0,108,44
0,101,44
0,94,40
0,100,39
0,98,40
0,113,49
0,107,44
0,106,41
0,109,50
0,111,46
0,103,48
0,106,47
0,112,49
0,25,21
0,107,47
0,114,44
0,101,43
0,105,50
0,100,41
0,102,40
0,99,41
0,110,41
0,108,45
0,97,40
0,105,40
0,98,34
0,105,46
0,113,53
0,96,48
0,101,44
0,108,55
0,101,39
0,105,44
0,96,30
0,109,41
0,98,42
0,105,45
0,102,38
0,104,50
0,90,33
0,104,43
0,102,48
0,92,47
0,100,41
0,109,52
0,112,45
0,96,39
0,109,45
0,99,44
0,115,43
0,102,46
0,107,44
0,101,44
0,94,40
0,100,39
0,98,41
0,114,49
0,108,45
0,107,41
0,109,51
0,110,46
0,103,48
0,105,47
0,106,41
0,112,49
0,106,47
0,114,44
0,100,43
0,104,50
0,100,42
0,101,40
0,97,41
0,110,42
0,108,45
0,96,40
0,105,40
0,98,34
0,104,46
0,113,53
0,96,48
0,101,44
0,108,56
0,101,39
0,105,44
0,108,39
0,109,41
0,98,43
0,105,45
0,102,38
0,89,40
0,89,33
0,106,43
0,103,48
0,91,47
0,101,42
0,109,52
0,112,44
0,97,39
0,109,46
0,99,44
0,115,43
0,101,47
0,108,44
0,100,44
0,99,34
0,94,40
0,100,39
0,98,40
0,114,49
0,107,45
0,107,41
0,108,51
0,110,46
0,103,48
0,105,47
0,108,44
0,111,49
0,106,47
0,114,44
0,100,43
0,105,50
0,100,42
0,100,40
0,96,40
0,110,42
0,109,44
0,97,40
0,104,41
0,98,34
0,105,46
0,113,53
0,96,47
0,101,44
0,108,56
0,102,39
0,105,44
0,108,39
0,109,41
0,98,43
0,106,45
0,102,38
0,90,35
0,105,43
0,101,48
0,92,47
0,103,44
0,109,52
0,112,44
0,96,39
0,110,45
0,98,44
0,114,43
0,102,47
0,107,44
0,101,44
0,101,39
0,95,40
0,100,39
0,98,40
0,114,50
0,108,45
0,106,41
0,109,51
0,111,46
0,103,47
0,105,47
0,108,46
0,112,50
0,106,47
0,114,44
0,100,43
0,105,50
0,100,42
0,95,34
0,102,40
0,110,42
0,107,45
0,97,40
0,104,41
0,98,34
0,104,47
0,113,54
0,90,25
0,101,44
0,108,56
0,100,40
0,104,44
0,109,40
0,108,41
0,99,43
0,104,45
0,103,38
0,89,34
0,106,43
0,102,48
0,91,47
0,103,45
0,108,52
0,111,44
0,96,40
0,109,46
0,99,44
0,102,47
0,108,44
0,101,44
0,102,41
0,94,40
0,100,39
0,98,41
0,114,50
0,108,45
0,107,41
0,108,51
0,110,46
0,102,46
0,106,47
0,109,46
0,111,50
0,106,47
0,114,44
0,100,43
0,106,50
0,100,42
0,95,36
0,101,41
0,110,42
0,107,45
0,96,40
0,105,41
0,98,34
0,105,47
0,113,54
0,96,31
0,101,44
0,108,56
0,101,40
0,104,44
0,109,40
0,109,41
0,98,43
0,106,45
0,103,38
0,90,35
0,99,37
0,105,44
0,102,48
0,91,47
0,103,45
0,109,52
0,112,43
0,96,39
0,110,46
0,100,44
0,101,47
0,107,44
0,101,43
0,103,43
0,95,40
0,100,39
0,99,40
0,114,50
0,107,45
0,107,41
0,109,50
0,110,46
0,103,46
0,105,47
0,109,47
0,111,50
0,105,46
0,114,44
0,100,43
0,105,51
0,101,42
0,96,37
0,102,41
0,110,42
0,107,44
0,97,41
0,104,41
0,97,34
0,103,47
0,113,54
0,97,35
0,100,45
0,109,56
0,100,40
0,104,44
0,109,40
0,108,41
0,99,43
0,104,46
0,102,38
0,88,33
0,101,40
0,106,44
0,102,48
0,91,47
0,103,46
0,108,52
0,111,43
0,96,39
0,108,46
0,99,44
0,102,47
0,108,44
0,99,43
0,103,44
0,94,40
0,21,19
0,100,39
0,98,40
0,114,50
0,108,45
0,107,41
0,109,50
0,110,46
0,106,47
0,111,47
0,111,50
0,105,46
0,114,45
0,101,43
0,106,51
0,100,42
0,96,38
0,101,41
0,110,42
0,43,24
0,107,44
0,96,41
0,105,41
0,98,34
0,104,47
0,113,54
0,98,38
0,101,44
0,108,56
0,101,40
0,104,44
0,109,41
0,108,41
0,98,43
0,106,46
0,102,38
0,89,36
0,103,41
0,106,43
0,102,48
0,91,47
0,103,46
0,109,52
0,95,40
0,109,46
0,99,44
0,102,47
0,108,44
0,99,43
0,103,44
0,94,40
0,99,39
0,98,41
0,114,50
0,107,45
0,107,42
0,108,51
0,110,45
0,20,17
0,105,47
0,110,47
0,111,50
0,104,45
0,114,44
0,100,43
0,106,51
0,101,42
0,96,38
0,101,41
0,74,30
0,110,43
0,107,44
0,98,40
0,105,41
0,98,34
0,104,47
0,113,55
0,99,40
0,101,44
0,108,57
0,100,40
0,103,44
0,108,41
0,108,41
0,98,43
0,106,46
0,103,38
0,89,36
0,103,42
0,107,43
0,101,48
0,91,47
0,102,46
0,108,52
0,96,40
0,108,46
0,102,42
0,98,44
0,102,47
0,107,45
0,99,42
0,104,45
0,94,40
0,86,37
0,99,39
0,98,40
0,114,50
0,108,45
0,107,42
0,109,51
0,111,45
0,78,32
0,106,47
0,111,47
0,112,50
0,114,45
0,100,43
0,106,51
0,100,43
0,97,39
0,101,42
0,104,35
0,110,42
0,96,40
0,104,42
0,98,34
0,104,47
0,113,55
0,99,41
0,100,45
0,109,57
0,101,40
0,104,43
0,109,41
0,109,41
0,99,43
0,105,47
0,102,39
0,89,34
0,103,42
0,106,43
0,100,47
0,91,47
0,103,46
0,109,51
0,96,39
0,108,45
0,105,44
0,98,44
0,102,47
0,108,44
0,104,45
0,94,41
0,97,39
0,100,39
0,98,40
0,114,50
0,108,45
0,107,42
0,109,51
0,110,45
0,85,35
0,106,47
0,110,48
0,112,50
0,114,44
0,99,43
0,107,51
0,100,42
0,97,39
0,101,42
0,106,37
0,109,43
0,97,40
0,105,41
0,98,35
0,102,34
0,104,47
0,113,55
0,99,41
0,100,45
0,109,57
0,100,40
0,109,41
0,108,42
0,98,43
0,104,47
0,102,38
0,89,33
0,94,30
0,104,42
0,105,43
0,100,47
0,91,48
0,104,47
0,108,52
0,96,40
0,107,46
0,107,44
0,98,44
0,102,47
0,108,44
0,104,45
0,94,40
0,99,41
0,100,39
0,97,40
0,115,50
0,108,45
0,108,42
0,108,51
0,111,45
0,90,36
0,105,48
0,111,48
0,111,50
0,114,44
0,100,43
0,107,51
0,100,43
0,97,39
0,101,42
0,107,37
0,110,43
0,96,40
0,104,42
0,98,35
0,106,38
0,104,47
0,114,55
0,99,43
0,100,45
0,109,57
0,101,40
0,110,41
0,108,42
0,99,43
0,103,38
0,104,46
0,90,35
0,98,33
0,102,42
0,107,42
0,100,47
0,91,47
0,103,47
0,108,52
0,95,39
0,108,45
0,107,45
0,98,44
0,103,47
0,108,44
0,104,46
0,95,41
0,99,42
0,100,38
0,97,41
0,114,51
0,108,45
0,108,42
0,109,51
0,109,43
0,91,37
0,105,47
0,111,48
0,111,50
0,113,44
0,99,43
0,106,52
0,100,43
0,97,40
0,101,42
0,107,38
0,110,43
0,97,40
0,103,41
0,98,34
0,106,40
0,105,46
0,114,55
0,99,42
0,100,45
0,108,57
0,100,40
0,109,41
0,109,42
0,98,43
0,102,39
0,90,35
0,98,35
0,103,42
0,106,42
0,92,47
0,104,46
0,108,51
0,96,40
0,108,46
0,107,45
0,98,44
0,103,47
0,108,44
0,104,46
0,95,40
0,99,42
0,101,38
0,97,41
0,115,50
0,108,45
0,108,42
0,108,51
0,92,37
0,106,47
0,110,48
0,112,50
0,94,38
0,113,43
0,100,43
0,107,52
0,100,43
0,98,40
0,101,42
0,107,38
0,111,43
0,97,40
0,104,41
0,98,34
0,107,41
0,103,46
0,113,56
0,99,43
0,101,45
0,108,57
0,100,40
0,109,41
0,108,42
0,98,43
0,102,39
0,89,34
0,97,35
0,103,42
0,107,42
0,91,48
0,104,47
0,108,51
0,94,40
0,108,46
0,108,45
0,98,44
0,102,47
0,107,44
0,104,46
0,94,41
0,100,42
0,100,37
0,97,40
0,114,51
0,108,45
0,96,32
0,108,42
0,108,51
0,91,38
0,106,47
0,111,48
0,112,50
0,96,40
0,112,41
0,100,43
0,107,52
0,101,43
0,97,40
0,102,42
0,107,38
0,111,43
0,96,40
0,105,41
0,107,42
0,97,34
0,102,45
0,113,56
0,99,43
0,101,45
0,108,57
0,100,40
0,109,40
0,109,42
0,99,43
0,103,40
0,103,39
0,91,37
0,99,36
0,102,43
0,107,42
0,91,48
0,104,47
0,108,51
0,95,40
0,108,45
0,99,39
0,107,45
0,98,44
0,103,47
0,108,44
0,104,46
0,95,41
0,99,43
0,99,37
0,97,41
0,114,51
0,108,45
0,100,34
0,108,42
0,108,51
0,92,38
0,105,47
0,110,49
0,112,50
0,97,41
0,100,43
0,106,52
0,100,43
0,97,40
0,101,42
0,46,24
0,107,39
0,111,43
0,97,40
0,104,42
0,107,43
0,97,34
0,114,56
0,100,44
0,101,45
0,109,57
0,100,40
0,108,40
0,108,42
0,99,43
0,105,43
0,102,39
0,99,35
0,90,37
0,103,42
0,106,42
0,92,47
0,104,47
0,108,50
0,97,39
0,108,45
0,104,41
0,107,45
0,98,44
0,102,47
0,107,44
0,105,46
0,95,41
0,98,43
0,52,22
0,97,40
0,114,51
0,108,46
0,37,22
0,101,35
0,107,43
0,108,51
0,92,38
0,105,47
0,110,49
0,112,50
0,98,42
0,101,43
0,108,52
0,100,43
0,97,41
0,101,43
0,94,34
0,108,39
0,111,43
0,96,41
0,104,42
0,107,44
0,97,34
0,113,56
0,100,43
0,100,46
0,108,57
0,99,40
0,107,40
0,99,44
0,106,42
0,105,43
0,102,39
0,90,36
0,98,36
0,103,43
0,106,42
0,91,48
0,104,47
0,96,40
0,107,46
0,105,43
0,108,45
0,97,44
0,102,47
0,108,44
0,104,46
0,96,41
0,99,43
0,95,28
0,97,40
0,114,51
0,108,46
0,101,36
0,107,43
0,108,51
0,92,39
0,105,47
0,110,49
0,112,50
0,98,42
0,100,43
0,106,52
0,100,43
0,97,41
0,101,43
0,98,37
0,107,39
0,110,44
0,97,40
0,104,42
0,96,34
0,108,44
0,114,56
0,100,44
0,101,46
0,109,57
0,99,39
0,108,40
0,98,43
0,105,44
0,101,39
0,90,37
0,99,35
0,103,43
0,106,42
0,97,33
0,90,48
0,104,48
0,95,40
0,107,45
0,106,44
0,108,45
0,98,44
0,103,47
0,108,44
0,104,46
0,95,41
0,99,43
0,97,31
0,97,40
0,114,51
0,109,46
0,101,37
0,108,42
0,109,50
0,92,39
0,105,47
0,111,49
0,111,51
0,98,43
0,99,43
0,107,52
0,100,42
0,98,40
0,101,43
0,100,38
0,108,39
0,111,43
0,96,40
0,104,42
0,107,45
0,96,33
0,89,26
0,113,56
0,100,44
0,101,46
0,108,57
0,108,41
0,99,44
0,105,44
0,101,39
0,99,35
0,90,37
0,103,43
0,105,43
0,97,35
0,90,48
0,104,48
0,95,40
0,107,45
0,107,44
0,108,45
0,98,44
0,102,48
0,108,44
0,104,46
0,96,41
0,99,43
0,98,32
0,96,39
0,114,51
0,108,46
0,100,37
0,107,42
0,108,51
0,90,39
0,111,49
0,111,50
0,98,43
0,99,43
0,108,52
0,100,42
0,98,40
0,102,43
0,101,39
0,108,39
0,111,43
0,96,40
0,104,42
0,96,33
0,107,45
0,83,30
0,113,56
0,100,44
0,100,46
0,107,58
0,108,40
0,99,44
0,105,44
0,101,39
0,90,36
0,98,36
0,103,43
0,106,42
0,99,36
0,91,48
0,104,48
0,97,39
0,107,45
0,106,45
0,108,45
0,97,44
0,102,47
0,109,44
0,104,47
0,96,41
0,99,43
0,99,34
0,97,38
0,115,51
0,108,46
0,101,37
0,107,42
0,109,50
0,92,39
0,92,47
0,110,49
0,112,50
0,98,43
0,99,43
0,107,52
0,99,42
0,98,41
0,101,43
0,102,40
0,109,40
0,110,44
0,96,40
0,104,42
0,107,45
0,90,35
0,114,56
0,100,45
0,100,46
0,108,57
0,110,41
0,99,44
0,104,44
0,101,39
0,90,37
0,99,36
0,103,43
0,106,43
0,99,37
0,91,48
0,104,48
0,95,40
0,107,45
0,106,45
0,108,45
0,102,48
0,109,44
0,105,46
0,96,41
0,99,44
0,99,35
0,115,51
0,108,46
0,101,37
0,107,42
0,107,51
0,92,39
0,93,49
0,110,49
0,112,50
0,98,43
0,100,43
0,108,52
0,96,41
0,85,39
0,101,43
0,102,40
0,109,40
0,110,44
0,96,40
0,104,43
0,108,45
0,92,37
0,115,56
0,100,45
0,100,46
0,108,57
0,109,41
0,99,44
0,104,44
0,102,39
0,99,36
0,90,36
0,103,43
0,105,43
0,98,37
0,91,48
0,105,48
0,95,40
0,89,33
0,106,45
0,106,45
0,108,45
0,102,47
0,108,44
0,105,46
0,83,32
0,96,41
0,99,44
0,98,35
0,114,51
0,108,46
0,101,38
0,107,42
0,107,51
0,92,39
0,94,49
0,110,49
0,111,51
0,98,44
0,98,44
0,108,52
0,97,41
0,92,41
0,101,43
0,103,41
0,109,40
0,110,44
0,95,40
0,104,43
0,107,46
0,92,37
0,113,56
0,100,45
0,100,46
0,108,57
0,109,40
0,99,44
0,105,44
0,102,39
0,99,36
0,89,36
0,103,43
0,103,42
0,98,37
0,91,48
0,104,48
0,95,39
0,104,36
0,105,45
0,105,45
0,108,45
0,102,48
0,108,44
0,104,46
0,87,34
0,96,41
0,99,44
0,99,36
0,114,51
0,109,46
0,102,38
0,107,42
0,107,50
0,92,39
0,94,50
0,111,49
0,111,51
0,97,44
0,98,43
0,107,52
0,97,41
0,99,41
0,101,43
0,103,41
0,108,40
0,112,44
0,96,40
0,104,43
0,107,46
0,93,38
0,114,56
0,101,45
0,50,27
0,100,46
0,107,57
0,108,41
0,99,44
0,105,44
0,101,40
0,99,37
0,90,36
0,103,43
0,99,37
0,90,48
0,105,49
0,95,39
0,105,38
0,105,45
0,106,45
0,107,46
0,101,48
0,108,43
0,105,47
0,87,36
0,96,41
0,99,44
0,99,36
0,114,51
0,109,46
0,101,38
0,107,41
0,108,50
0,92,39
0,95,50
0,110,49
0,111,50
0,99,44
0,98,43
0,108,52
0,97,41
0,101,41
0,101,43
0,103,41
0,107,40
0,111,44
0,96,40
0,105,43
0,107,46
0,93,38
0,114,56
0,110,41
0,100,45
0,101,46
0,108,56
0,109,41
0,99,44
0,106,44
0,102,40
0,98,37
0,89,36
0,103,43
0,99,37
0,90,48
0,105,49
0,95,40
0,105,38
0,105,45
0,106,45
0,108,45
0,102,48
0,108,43
0,104,47
0,89,37
0,96,41
0,99,44
0,99,36
0,115,51
0,108,46
0,102,38
0,107,50
0,92,39
0,94,50
0,111,49
0,111,50
0,103,36
0,98,44
0,98,43
0,108,52
0,97,42
0,100,42
0,101,44
0,103,41
0,108,40
0,111,44
0,95,40
0,103,44
0,107,46
0,92,38
0,114,56
0,114,44
0,101,45
0,101,47
0,107,56
0,109,41
0,99,44
0,106,44
0,102,40
0,99,37
0,89,36
0,103,43
0,28,20
0,99,37
0,90,48
0,104,49
0,94,40
0,105,38
0,106,44
0,106,45
0,108,46
0,102,48
0,104,47
0,90,37
0,96,41
0,99,44
0,99,36
0,115,51
0,109,46
0,102,38
0,107,50
0,92,40
0,95,50
0,111,49
0,111,51
0,104,38
0,98,44
0,98,43
0,108,52
0,97,42
0,101,42
0,102,43
0,103,41
0,108,41
0,111,44
0,103,43
0,108,46
0,91,38
0,114,56
0,115,45
0,100,46
0,100,47
0,109,41
0,100,44
0,105,44
0,102,40
0,99,36
0,89,36
0,103,43
0,92,39
0,99,37
0,90,48
0,105,49
0,94,40
0,105,39
0,104,44
0,106,45
0,108,46
0,81,33
0,101,48
0,104,47
0,90,37
0,95,41
0,98,44
0,99,37
0,114,51
0,108,46
0,102,39
0,107,50
0,97,35
0,92,40
0,95,50
0,111,49
0,112,50
0,105,39
0,98,44
0,97,43
0,108,52
0,97,42
0,101,43
0,101,44
0,104,41
0,88,28
0,107,41
0,112,44
0,103,43
0,107,47
0,91,39
0,113,57
0,116,45
0,100,46
0,100,46
0,109,41
0,99,44
0,106,44
0,102,40
0,98,37
0,89,36
0,103,43
0,95,40
0,99,37
0,91,48
0,105,49
0,94,40
0,106,39
0,106,45
0,108,46
0,83,36
0,101,48
0,104,47
0,90,38
0,96,41
0,99,44
0,101,37
0,114,52
0,109,46
0,102,39
0,109,43
0,106,50
0,92,40
0,95,50
0,111,50
0,111,51
0,105,40
0,97,44
0,108,52
0,97,42
0,103,43
0,102,43
0,103,42
0,94,32
0,107,41
0,111,44
0,104,43
0,108,46
0,93,39
0,114,56
0,116,46
0,101,46
0,99,47
0,109,41
0,99,44
0,106,44
0,102,39
0,99,37
0,90,37
0,103,44
0,96,41
0,98,38
0,91,48
0,105,49
0,94,40
0,106,39
0,107,45
0,108,46
0,84,37
0,101,48
0,105,47
0,90,38
0,95,41
0,100,44
0,101,37
0,114,52
0,108,46
0,102,39
0,109,44
0,106,49
0,92,40
0,95,51
0,111,50
0,112,50
0,105,40
0,98,44
0,107,52
0,98,41
0,102,43
0,101,44
0,103,42
0,96,33
0,107,41
0,111,44
0,104,43
0,108,47
0,93,39
0,114,56
0,116,46
0,101,46
0,99,46
0,108,41
0,99,44
0,105,44
0,89,37
0,98,37
0,104,43
0,100,41
0,99,37
0,91,48
0,104,49
0,94,39
0,106,39
0,106,46
0,108,46
0,85,38
0,101,48
0,104,48
0,89,38
0,94,40
0,99,44
0,100,37
0,115,52
0,108,46
0,102,39
0,111,45
0,90,32
0,92,40
0,95,51
0,111,50
0,111,50
0,106,40
0,98,44
0,108,52
0,97,42
0,102,43
0,101,43
0,103,42
0,97,33
0,107,41
0,111,44
0,104,43
0,108,47
0,94,39
0,113,56
0,117,46
0,23,20
0,101,47
0,99,46
0,109,41
0,86,27
0,100,44
0,106,44
0,90,38
0,99,37
0,104,44
0,100,41
0,99,38
0,90,48
0,105,50
0,94,40
0,106,39
0,106,46
0,109,46
0,85,38
0,102,48
0,105,47
0,89,38
0,94,40
0,98,45
0,100,37
0,115,52
0,108,45
0,85,39
0,102,39
0,111,46
0,92,40
0,95,51
0,110,50
0,111,50
0,106,41
0,97,44
0,91,32
0,108,52
0,97,42
0,102,44
0,100,43
0,103,42
0,97,34
0,107,41
0,110,44
0,103,43
0,108,48
0,93,39
0,116,46
0,33,23
0,101,47
0,99,46
0,109,41
0,86,29
0,99,44
0,106,44
0,98,37
0,90,37
0,104,44
0,101,42
0,98,38
0,90,48
0,105,49
0,95,39
0,106,39
0,107,45
0,108,46
0,84,38
0,101,48
0,104,47
0,91,38
0,99,44
0,100,37
0,115,51
0,108,45
0,90,41
0,102,39
0,112,46
0,92,40
0,95,51
0,111,49
0,111,50
0,106,41
0,98,44
0,94,35
0,108,52
0,98,42
0,102,43
0,101,43
0,103,42
0,97,34
0,108,41
0,111,44
0,103,43
0,108,47
0,94,39
0,117,46
0,94,35
0,101,47
0,99,47
0,108,41
0,88,31
0,99,44
0,105,45
0,99,37
0,90,36
0,103,44
0,100,42
0,99,38
0,90,48
0,105,50
0,94,39
0,106,39
0,106,46
0,109,46
0,93,39
0,85,39
0,100,48
0,104,47
0,90,38
0,99,44
0,100,38
0,115,52
0,108,45
0,92,42
0,102,39
0,112,46
0,92,40
0,96,51
0,112,49
0,111,50
0,106,41
0,97,45
0,95,37
